,sugar to flour ratio,sugar index,bake temp,chill time,calories,pH,grams baking soda,bake time,quality,butter type,chocolate,raisins,oats,nuts,peanut butter
1276,0.32,1.9,820,17.0,144.0,8.2,0.55,9.5,5,0,1,0,0,1,0
1277,0.26,1.6,880,16.0,23.0,8.32,0.47,9.4,5,0,1,0,1,1,0
1278,0.21,1.9,900,44.0,130.0,8.07,0.41,9.7,7,1,1,0,1,0,0
1279,0.29,3.0,360,17.0,117.0,8.36,0.68,10.1,8,1,1,0,0,0,0
1280,0.0,1.9,800,14.0,35.0,8.47,0.55,9.4,5,0,0,0,1,1,0
1281,0.32,1.2,370,14.0,119.0,8.19,0.5,10.2,8,1,1,0,1,0,0
1282,0.29,1.1,350,44.0,140.0,8.17,0.55,10.7,9,1,1,0,1,0,0
1284,0.25,1.3,340,28.0,123.0,8.27,0.55,11.4,8,1,1,0,1,0,0
1285,0.27,12.15,330,37.0,116.0,7.99,0.39,10.8,8,1,0,1,0,1,0
1286,0.18,1.4,470,30.0,90.0,8.27,0.54,11.2,8,1,1,0,1,0,0
1287,0.39,17.95,570,45.0,149.0,8.21,0.36,8.6,7,1,1,0,0,0,0
1288,0.02,7.9,1220,68.0,124.0,8.47,0.53,9.9,5,0,0,0,1,1,0
1289,0.21,2.9,260,48.0,126.0,8.22,0.38,11.3,9,1,1,0,0,0,0
1290,0.25,1.3,400,28.0,85.0,7.87,0.48,11.2,8,1,1,0,0,0,0
1291,0.21,2.2,440,15.0,68.0,8.17,0.39,9.4,8,1,0,1,0,0,0
1292,0.28,6.5,370,26.0,97.0,8.16,0.58,12.6,9,1,1,0,0,1,0
1293,0.24,2.7,170,22.0,80.0,8.03,0.37,11.5,7,1,0,1,0,0,0
1294,0.23,2.9,390,10.0,108.0,8.28,0.5,10.0,7,1,1,0,1,0,0
1295,0.28,8.3,340,29.0,81.0,7.96,0.39,12.5,8,1,0,1,0,0,0
1296,0.0,2.2,880,16.0,32.0,8.58,0.67,10.2,5,0,0,1,1,0,0
1297,0.26,1.7,410,31.0,110.0,8.2,0.53,11.0,8,1,1,0,0,0,0
1298,0.24,12.1,460,51.0,172.0,8.35,0.45,9.5,7,1,1,0,0,0,0
1299,0.29,1.8,500,40.0,147.0,8.06,0.44,11.4,9,1,1,0,1,0,0
1300,0.32,5.5,490,41.0,176.0,8.19,0.68,9.2,8,1,1,0,0,0,0
1301,0.44,2.8,890,11.0,43.0,8.53,0.61,10.5,6,0,1,0,0,1,0
1302,0.32,14.6,630,32.0,201.0,8.0,0.45,9.2,7,1,1,0,0,0,0
1303,0.28,14.7,510,29.0,149.0,7.96,0.39,9.0,9,1,1,0,1,0,0
1304,0.27,9.7,360,15.0,85.0,7.99,0.36,11.2,8,1,1,0,0,0,0
1305,0.4,5.2,550,41.0,167.0,8.18,0.4,10.6,9,1,1,0,0,0,0
1306,0.31,2.0,290,14.0,141.0,7.95,0.77,12.2,8,1,1,0,0,0,0
1307,0.27,1.5,400,35.0,105.0,8.13,0.3,12.4,8,1,1,0,0,0,0
1308,0.24,7.2,390,38.0,172.0,8.49,0.64,9.7,8,1,1,0,0,0,0
1309,0.29,0.7,280,11.0,66.0,8.3,0.4,9.8,7,1,1,0,0,0,0
1310,0.39,14.2,580,49.0,192.0,7.98,0.48,9.0,9,1,1,0,0,0,0
1311,0.14,2.4,670,10.0,42.0,8.19,0.59,9.5,5,0,1,0,1,1,0
1312,0.3,2.6,340,62.0,148.0,8.03,0.56,11.3,9,1,1,0,0,0,0
1313,0.32,7.6,520,35.0,143.0,8.14,0.38,9.0,7,1,0,1,0,0,0
1314,0.24,6.2,480,31.0,228.0,8.23,0.62,9.4,8,1,0,1,0,0,0
1315,0.2,12.6,320,54.0,136.0,7.91,0.43,10.6,8,1,1,0,0,1,0
1316,0.3,3.8,360,34.0,88.0,8.25,0.63,12.5,9,1,0,1,0,0,0
1317,0.22,1.4,460,16.0,135.0,8.08,0.77,10.4,9,1,0,1,0,0,0
1318,0.23,13.7,450,44.0,192.0,8.11,0.53,9.4,7,1,1,0,0,1,0
1319,0.49,1.0,280,6.0,24.0,7.91,0.32,9.9,7,1,1,0,1,0,0
1320,0.4,6.9,500,30.0,97.0,8.26,0.44,10.1,8,1,1,0,0,0,0
1321,0.13,2.0,760,12.0,20.0,8.29,0.54,10.1,5,0,1,0,1,1,0
1322,0.25,1.9,810,14.0,38.0,8.43,0.65,9.0,6,0,0,1,0,1,0
1323,0.29,4.3,690,20.0,114.0,8.22,0.59,13.4,8,1,0,1,0,1,0
1324,0.29,5.15,350,64.0,138.0,8.19,0.34,12.4,10,1,1,0,0,0,0
1325,0.21,16.2,740,41.0,197.0,8.02,0.5,9.8,5,1,1,0,0,0,0
1326,0.45,14.2,380,53.0,141.0,8.03,0.46,9.2,8,1,1,0,0,0,0
1327,0.31,1.6,350,40.0,106.0,8.26,0.39,12.9,9,1,0,1,0,0,0
1328,0.12,1.8,1140,15.0,64.0,8.22,0.59,9.5,6,0,0,0,1,1,0
1330,0.28,12.05,580,25.0,125.0,8.45,0.45,9.4,7,1,1,0,0,0,0
1331,0.46,12.0,420,61.0,210.0,8.17,0.59,9.7,8,1,0,1,0,0,0
1332,0.02,1.8,670,4.0,11.0,8.46,0.68,9.5,5,0,0,1,0,1,0
1333,0.12,2.4,830,8.0,28.0,8.33,0.65,10.4,6,0,1,0,0,0,1
1334,0.36,13.0,510,72.0,177.0,8.16,0.49,9.8,7,1,1,0,0,0,0
1335,0.31,3.9,460,17.0,106.0,8.15,0.31,11.5,7,1,1,0,0,0,0
1336,0.31,11.4,390,46.0,165.0,8.41,0.44,9.8,9,1,1,0,0,0,0
1337,0.39,1.8,320,23.0,118.0,8.32,0.5,11.8,8,1,1,0,0,0,0
1338,0.34,1.6,280,32.0,118.0,8.0,0.38,12.1,9,1,1,0,0,0,0
1339,0.26,12.5,490,52.5,106.0,8.08,0.45,9.4,8,1,1,0,0,0,0
1340,0.29,4.6,320,68.0,137.0,8.21,0.38,11.3,8,1,1,0,1,0,0
1341,0.36,4.5,420,26.0,102.0,8.09,0.47,9.5,7,1,1,0,1,0,0
1342,0.31,1.0,240,13.0,91.0,7.79,0.37,10.1,7,1,1,0,1,0,0
1343,0.03,1.8,780,7.0,12.0,8.34,0.39,9.5,5,0,1,0,1,1,0
1344,0.63,2.3,910,6.0,18.0,8.16,0.49,9.5,5,0,0,1,0,0,0
1345,0.22,2.1,770,12.0,65.0,8.29,0.51,9.2,5,0,0,1,0,1,0
1346,0.45,10.6,350,28.0,124.0,8.2,0.46,10.4,11,1,1,0,0,0,0
1347,0.27,1.9,580,18.0,38.0,8.16,0.85,11.1,6,0,1,0,0,1,0
1348,0.4,6.3,470,52.0,172.0,8.18,0.53,9.5,8,1,1,0,0,0,0
1349,0.34,1.4,390,21.0,177.0,8.32,0.62,10.8,7,1,1,0,1,0,0
1350,0.36,8.2,280,29.0,142.0,8.01,0.34,13.0,9,1,0,1,0,0,0
1351,0.09,1.4,660,15.0,28.0,8.42,0.7,10.0,7,0,0,1,0,0,0
1352,0.49,13.6,420,58.0,166.0,8.1,0.54,9.4,7,1,0,1,0,0,0
1353,0.32,6.3,300,34.0,129.0,8.52,0.41,10.4,7,1,1,0,0,0,0
1354,0.37,1.2,280,28.0,89.0,8.14,0.61,11.8,8,1,1,0,0,0,0
1355,0.33,6.9,520,23.0,118.0,8.23,0.46,10.4,8,1,1,0,0,0,0
1356,0.29,3.0,270,16.0,102.0,8.23,0.56,11.2,8,1,0,1,0,0,0
1357,0.46,1.8,460,23.0,130.0,8.04,0.67,9.6,7,1,1,0,1,0,0
1358,0.33,1.9,740,27.0,85.0,8.41,0.58,9.0,5,0,1,0,0,1,0
1359,0.38,2.2,470,33.0,96.0,8.13,0.39,10.4,10,1,1,0,1,0,0
1360,0.26,5.55,510,51.0,139.0,8.47,0.5,11.0,8,1,1,0,1,0,0
1361,0.49,2.6,840,21.0,75.0,8.35,0.57,9.7,5,0,1,0,0,1,0
1362,0.38,2.2,260,40.0,104.0,8.25,0.4,11.1,10,1,1,0,0,0,0
1363,0.38,3.5,530,41.0,174.0,8.22,0.41,11.6,7,1,1,0,0,0,0
1364,0.26,2.3,900,23.0,74.0,8.71,0.62,12.2,6,0,1,0,0,1,0
1365,0.17,2.8,400,24.0,125.0,8.01,0.46,9.0,7,1,0,1,0,0,0
1366,0.12,5.1,1110,50.0,110.0,8.26,0.77,9.4,5,0,1,0,1,1,0
1367,0.28,4.8,500,34.0,150.0,8.13,0.5,10.0,8,1,1,0,0,0,0
1368,0.33,1.0,370,66.0,144.0,8.11,0.52,10.2,8,1,1,0,0,0,0
1369,0.35,6.7,390,22.0,64.0,7.93,0.49,10.7,7,1,1,0,0,0,0
1370,0.28,3.1,540,54.0,174.0,8.21,0.43,9.4,8,1,0,1,0,0,0
1371,0.34,3.0,930,16.0,112.0,8.38,0.61,9.5,5,0,0,1,0,1,0
1372,0.16,5.9,480,14.0,125.0,8.09,0.49,9.8,7,1,1,0,0,1,0
1373,0.41,1.9,470,27.0,151.0,8.2,0.53,10.1,8,1,1,0,1,0,0
1374,0.3,1.9,740,32.0,84.0,8.39,0.61,9.0,5,0,0,1,0,0,0
1375,0.42,2.0,800,11.0,27.0,8.21,0.8,9.4,6,0,1,0,0,0,0
1376,0.31,14.5,450,39.0,193.0,8.1,0.5,9.2,8,1,1,0,1,0,0
1377,0.19,1.5,1610,7.0,62.0,8.62,0.61,11.0,5,0,0,0,1,1,0
1378,0.17,17.75,600,51.0,190.0,8.13,0.48,8.8,8,1,0,1,0,0,0
1379,0.42,6.2,660,41.0,176.0,8.12,0.54,9.4,7,1,1,0,0,1,0
1380,0.73,3.2,660,6.0,22.0,8.17,0.66,11.2,6,0,1,0,0,1,0
1382,0.48,3.8,1320,3.0,11.0,8.23,0.57,13.2,6,0,0,1,0,0,0
1383,0.25,1.7,380,29.0,129.0,8.45,0.56,10.4,8,1,1,0,0,0,0
1384,0.24,2.8,1050,29.0,53.0,8.24,0.67,9.9,5,0,1,0,1,1,0
1385,0.49,2.0,590,10.0,112.0,8.15,0.46,10.1,7,1,1,0,0,0,0
1386,0.1,6.4,430,34.0,142.0,8.14,0.48,9.8,7,1,0,1,0,0,0
1387,0.22,6.4,560,44.0,168.0,8.13,0.35,10.1,8,1,0,1,0,0,0
1388,0.44,8.2,430,54.0,201.0,8.18,0.48,9.5,7,1,0,1,0,0,0
1389,0.51,7.8,550,53.0,177.0,8.12,0.45,9.6,7,1,0,1,0,0,0
1390,0.46,8.7,480,39.0,197.0,8.14,0.59,9.6,8,1,1,0,0,0,0
1391,0.33,1.2,390,16.0,98.0,8.07,0.39,11.7,8,1,1,0,0,0,0
1392,0.4,2.2,790,19.0,0.0,8.44,0.64,9.2,5,0,1,0,0,1,0
1393,0.07,1.9,750,16.0,51.0,8.38,0.52,9.5,5,0,1,0,1,1,0
1394,0.34,1.1,340,49.0,158.0,8.32,0.32,13.1,9,1,1,0,0,0,0
1395,0.28,4.1,300,22.0,86.0,8.31,0.38,11.7,9,1,0,1,0,0,0
1396,0.19,5.4,420,67.0,181.0,8.31,0.35,10.2,8,1,1,0,0,0,0
1397,0.28,5.7,440,31.0,124.0,8.16,0.51,10.2,8,1,0,1,0,0,0
1398,0.31,9.2,480,22.0,221.0,8.06,0.61,9.2,8,1,1,0,0,1,0
1399,0.4,14.75,420,44.5,129.5,8.36,0.41,9.1,9,1,1,0,0,0,0
1400,0.5,11.4,290,25.0,93.0,8.23,0.49,10.5,8,1,1,0,0,0,0
1401,0.5,12.1,450,38.0,127.0,8.04,0.53,8.9,8,1,0,1,0,0,0
1402,0.68,2.55,850,10.0,25.0,8.18,0.61,11.8,5,0,1,0,0,0,0
1403,0.26,2.8,390,50.0,118.0,8.06,0.59,11.2,8,1,1,0,0,0,0
1404,0.22,1.6,440,17.0,101.0,8.37,0.53,10.0,7,1,1,0,0,0,0
1405,0.29,2.0,230,19.0,86.0,8.25,0.45,12.5,8,1,1,0,0,0,0
1406,0.49,1.6,530,15.0,144.0,8.16,0.47,10.5,7,1,1,0,0,0,0
1407,0.12,2.5,680,11.0,35.0,8.34,0.61,11.6,6,0,0,1,0,1,0
1408,0.47,5.1,440,19.0,65.0,8.03,0.41,12.6,6,1,0,1,0,0,0
1409,0.64,2.9,1220,10.0,41.0,8.23,0.66,12.5,6,0,0,1,0,0,0
1410,0.4,2.2,420,54.0,201.0,8.03,0.5,11.4,7,1,0,1,0,0,0
1411,0.33,3.6,340,9.0,45.0,8.08,0.4,10.5,8,1,1,0,0,0,0
1412,0.34,4.8,180,23.0,127.0,8.12,0.49,11.2,9,1,0,1,0,0,0
1413,0.21,5.0,420,17.0,133.0,8.02,0.53,9.4,7,1,0,1,0,0,0
1414,0.28,1.1,440,38.0,100.0,8.22,0.69,11.2,8,1,1,0,1,0,0
1415,0.26,13.2,510,54.0,201.0,8.25,0.46,9.0,7,1,0,1,0,0,0
1416,0.0,1.6,690,4.0,8.0,8.33,0.37,10.4,4,0,1,0,1,1,0
1417,0.3,8.7,360,47.0,127.0,8.18,0.39,10.6,7,1,1,0,0,0,0
1418,0.47,1.4,490,50.0,187.0,8.19,0.45,9.5,7,1,0,1,0,0,0
1419,0.49,1.3,320,35.0,148.0,8.45,0.57,10.7,9,1,1,0,0,0,0
1420,0.3,12.8,530,48.5,212.0,8.14,0.49,9.1,9,1,1,0,1,0,0
1421,0.39,1.9,360,41.0,98.0,8.19,0.43,11.9,9,1,1,0,0,0,0
1422,0.03,1.5,800,6.0,13.0,8.66,0.62,10.1,4,0,1,0,1,1,0
1423,0.0,2.4,900,8.0,19.0,8.27,0.73,9.3,5,0,1,0,1,1,0
1424,0.21,6.55,260,33.0,143.0,7.92,0.35,11.1,7,1,0,1,0,0,0
1425,0.39,1.2,490,26.0,152.0,8.5,0.47,10.0,8,1,1,0,0,0,0
1426,0.22,12.3,510,35.0,146.0,8.1,0.67,9.4,7,1,1,0,0,0,0
1427,0.49,4.6,1180,10.0,17.0,8.07,0.56,11.7,6,0,0,1,0,1,0
1428,0.0,1.4,550,27.0,33.0,8.45,0.48,12.3,6,0,1,0,0,1,0
1429,0.43,1.6,350,31.0,128.0,8.1,0.5,12.3,8,1,1,0,0,0,0
1430,0.41,1.7,260,29.0,140.0,8.02,0.78,12.5,8,1,1,0,1,0,0
1431,0.42,9.1,490,31.0,150.0,8.12,0.74,9.9,9,1,1,0,0,0,0
1432,0.49,2.5,800,8.0,20.0,8.07,0.82,10.3,6,0,0,1,0,0,0
1433,0.24,2.4,460,27.0,132.0,8.63,0.73,11.3,7,1,1,0,0,0,0
1434,0.15,1.2,530,61.0,183.0,8.09,0.43,9.2,7,1,0,1,0,0,0
1435,0.49,7.0,430,29.0,149.0,8.21,0.33,10.0,7,1,1,0,0,1,0
1437,0.49,1.7,310,44.0,109.0,8.07,0.46,12.5,8,1,0,1,0,0,0
1438,0.22,1.8,820,43.0,60.0,8.1,0.42,9.2,5,0,0,1,0,1,0
1439,0.0,1.8,620,21.0,28.0,8.44,0.55,12.3,6,0,0,1,0,1,0
1440,0.74,11.9,460,54.0,168.0,8.58,0.68,10.1,7,1,1,0,1,0,0
1441,0.04,1.4,450,41.0,85.0,8.75,0.48,10.5,4,0,0,0,0,0,1
1442,0.2,1.1,770,48.0,166.0,8.3,0.54,8.7,6,1,0,1,0,0,0
1443,0.25,4.2,320,15.0,91.0,8.26,0.52,13.1,8,1,1,0,0,1,0
1444,0.49,5.8,660,5.0,35.0,8.2,0.66,12.0,7,0,0,1,0,0,0
1445,0.37,5.85,330,27.0,93.0,8.16,0.54,12.6,9,1,1,0,0,1,0
1446,0.1,2.4,800,16.0,33.0,8.58,0.69,10.8,7,0,1,0,1,1,0
1447,0.33,1.6,280,13.0,59.0,8.3,0.84,11.9,10,1,1,0,1,0,0
1448,0.38,1.7,360,17.0,98.0,8.29,0.39,10.5,8,1,0,1,0,0,0
1449,0.24,2.1,780,1.0,28.0,8.41,0.87,10.3,6,0,1,0,0,0,0
1450,0.24,0.9,380,15.0,72.0,8.23,0.39,11.0,7,1,0,1,0,0,0
1451,0.14,4.8,520,27.0,128.0,8.21,0.48,9.4,7,1,0,1,0,0,0
1452,0.35,2.1,830,17.0,38.0,8.23,0.66,11.1,6,0,1,0,0,1,0
1453,0.27,0.9,400,52.0,103.0,8.5,0.39,11.2,7,1,1,0,1,0,0
1454,0.38,14.3,580,55.0,194.0,8.09,0.44,9.0,8,1,1,0,0,0,0
1455,0.49,1.5,350,42.0,120.0,8.26,0.4,10.6,9,1,1,0,1,0,0
1456,0.34,2.7,320,49.0,151.0,8.16,0.39,12.7,9,1,1,0,0,0,0
1457,0.0,2.9,720,26.0,52.0,8.51,0.6,11.5,6,0,0,0,1,1,0
1458,0.44,6.7,410,61.0,230.0,8.12,0.4,8.9,7,1,1,0,0,0,0
1459,0.15,1.8,890,10.0,52.0,8.23,0.77,9.5,5,0,0,0,1,1,0
1460,0.49,9.4,460,47.0,188.0,8.14,0.48,10.0,7,1,0,1,0,0,0
1461,0.02,2.2,720,31.0,92.0,8.32,0.68,11.1,6,0,1,0,1,1,0
1462,0.21,1.0,530,39.0,148.0,8.12,0.45,9.4,8,1,0,1,0,0,0
1463,0.45,8.0,530,52.0,196.0,8.23,0.48,9.1,8,1,1,0,0,0,0
1464,0.29,1.2,470,33.0,127.0,8.34,0.5,11.0,9,1,1,0,0,0,0
1465,0.51,14.8,390,62.0,204.0,8.06,0.6,9.5,7,1,0,1,0,0,0
1466,0.37,9.7,420,36.0,130.0,8.48,0.75,9.9,8,1,1,0,0,0,0
1468,0.36,2.3,390,43.0,125.0,8.07,0.67,10.1,9,1,1,0,1,0,0
1469,0.3,13.0,470,69.0,160.0,8.16,0.5,9.6,8,1,1,0,0,0,0
1470,0.4,14.55,470,47.0,156.0,8.34,0.78,9.1,8,1,1,0,1,0,0
1471,0.29,1.1,360,23.0,56.0,8.19,0.38,11.3,7,1,0,1,0,0,0
1472,0.52,1.7,340,41.0,193.0,8.25,0.59,10.4,8,1,1,0,0,0,0
1473,0.49,7.7,450,16.0,169.0,8.11,0.37,8.7,8,1,1,0,0,1,0
1474,0.32,9.0,230,20.0,109.0,8.34,0.35,12.6,8,1,1,0,0,0,0
1475,0.4,2.2,790,3.0,6.0,8.27,0.67,11.9,6,0,0,1,0,0,0
1476,0.42,17.2,370,57.0,170.0,8.26,0.57,9.4,8,1,0,1,0,0,0
1477,0.32,1.7,300,23.0,128.0,8.17,0.66,10.9,7,1,0,1,0,0,0
1478,0.33,5.2,500,30.0,137.0,8.26,0.58,11.1,7,1,0,1,0,0,0
1479,0.32,2.1,620,31.0,54.0,8.3,0.65,10.0,7,0,1,0,0,1,0
1480,0.55,2.6,830,25.0,68.0,8.15,0.82,10.4,6,0,0,1,0,0,0
1481,0.44,8.2,460,52.0,183.0,8.2,0.51,9.4,7,1,1,0,0,0,0
1482,0.32,3.5,280,29.0,113.0,8.4,0.71,12.3,9,1,1,0,0,0,0
1484,0.09,1.5,710,19.0,117.0,8.22,0.53,9.8,7,1,0,1,0,1,0
1485,0.28,6.3,340,45.0,152.0,8.29,0.46,11.6,9,1,0,1,0,0,0
1486,0.25,1.6,470,34.0,132.0,8.16,0.48,11.4,7,1,1,0,1,0,0
1487,0.22,3.3,480,41.0,161.0,8.16,0.5,10.5,8,1,1,0,0,0,0
1488,0.33,6.7,360,45.0,138.0,8.2,0.68,11.4,8,1,1,0,0,0,0
1489,0.04,1.5,570,5.0,10.0,8.42,0.6,9.5,5,0,1,0,1,1,0
1490,0.4,7.1,560,50.0,110.0,8.06,0.52,9.9,8,1,1,0,1,0,0
1491,0.31,5.3,380,8.0,79.0,8.3,0.39,10.5,8,1,1,0,1,0,0
1492,0.41,10.8,480,55.0,149.0,8.09,0.59,11.0,9,1,1,0,0,0,0
1493,0.24,16.05,450,31.0,147.0,8.08,0.52,9.2,7,1,0,1,0,0,0
1494,0.52,2.3,830,14.0,23.0,8.35,0.61,11.3,6,0,1,0,0,1,0
1495,0.27,13.9,570,45.0,155.0,7.94,0.41,8.8,10,1,1,0,1,0,0
1496,0.34,1.4,310,27.0,107.0,8.06,0.39,11.9,8,1,1,0,0,0,0
1497,0.28,7.25,280,14.0,78.0,7.94,0.37,11.5,9,1,1,0,0,0,0
1498,0.18,1.3,460,9.0,62.0,8.38,0.47,10.1,6,1,1,0,0,0,0
1499,0.13,2.0,760,15.0,36.0,8.61,0.64,9.8,5,0,0,1,0,1,0
1500,0.59,1.4,730,23.0,42.0,7.92,0.68,10.5,7,0,0,1,0,1,0
1501,0.12,1.7,970,19.0,27.0,8.16,0.49,9.4,5,0,0,1,0,0,0
1502,0.36,2.2,270,36.0,134.0,8.28,0.36,12.5,9,1,1,0,0,0,0
1504,0.68,11.0,470,37.0,133.0,7.99,0.38,8.8,7,1,1,0,0,0,0
1505,0.27,1.2,460,34.0,175.0,8.37,0.54,9.4,8,1,0,1,0,0,0
1506,0.26,6.5,420,32.0,160.0,8.14,0.47,10.7,7,1,1,0,0,0,0
1507,0.12,2.0,860,12.0,80.0,8.38,0.52,10.1,5,0,0,0,1,1,0
1508,0.3,6.7,390,37.0,125.0,8.2,0.39,9.9,7,1,1,0,0,0,0
1509,0.3,8.3,260,37.0,113.0,7.99,0.38,12.3,10,1,1,0,0,0,0
1510,0.29,4.4,510,26.0,146.0,8.16,0.39,10.2,7,1,1,0,0,0,0
1511,0.3,2.0,390,43.0,188.0,8.3,0.41,12.0,8,1,1,0,0,0,0
1512,0.4,5.5,370,34.0,161.0,8.05,0.62,11.5,6,1,1,0,1,0,0
1513,0.3,5.2,480,38.0,113.0,8.33,0.44,10.1,9,1,1,0,1,0,0
1514,0.24,9.9,580,25.0,115.0,8.15,0.46,10.9,7,1,1,0,0,0,0
1515,0.21,5.0,420,17.0,133.0,8.02,0.53,9.4,7,1,0,1,0,0,0
1516,0.3,2.25,380,8.0,210.0,8.2,0.62,9.9,8,1,0,1,0,0,0
1517,0.27,10.1,560,38.0,187.0,8.31,0.56,10.6,7,1,0,1,0,0,0
1518,0.42,7.35,250,51.0,175.0,8.04,0.32,11.4,8,1,0,1,0,0,0
1519,0.24,2.2,790,19.0,58.0,8.18,0.56,10.1,6,0,0,1,0,1,0
1520,0.09,1.7,780,18.0,30.0,8.45,0.54,11.2,6,0,1,0,0,1,0
1521,0.31,2.8,700,4.0,15.0,8.22,0.55,10.3,6,0,1,0,0,1,0
1522,0.02,1.7,850,17.0,31.0,8.37,0.51,10.4,6,0,0,1,0,1,0
1523,0.2,16.7,460,50.0,184.0,8.08,0.56,9.4,7,1,1,0,0,1,0
1524,0.21,1.8,490,35.0,163.0,8.31,0.5,10.3,8,1,1,0,1,0,0
1525,0.14,5.0,460,48.0,198.0,8.3,0.71,10.3,7,1,0,1,0,0,0
1526,0.26,5.1,510,16.0,119.0,8.15,0.41,9.2,7,1,0,1,0,0,0
1527,0.24,6.8,570,41.0,163.0,8.2,0.41,9.9,8,1,1,0,0,1,0
1528,0.29,0.8,430,20.0,67.0,8.28,0.48,9.9,8,1,1,0,1,0,0
1529,0.32,9.6,520,24.0,90.0,8.35,0.49,9.4,8,1,1,0,1,0,0
1530,0.22,12.8,390,51.0,150.0,8.23,0.43,10.7,8,1,1,0,0,0,0
1531,0.08,4.4,860,6.0,29.0,8.38,0.5,9.0,4,0,0,1,0,1,0
1532,0.3,6.4,480,40.0,251.0,8.29,0.52,10.0,7,1,1,0,1,0,0
1533,0.2,3.4,460,9.0,116.0,8.15,0.41,9.4,7,1,0,1,0,0,0
1534,0.26,12.7,460,60.0,143.0,8.26,0.35,10.8,8,1,1,0,0,0,0
1535,0.0,2.0,840,9.0,22.0,8.33,0.68,10.9,6,0,0,0,1,1,0
1536,0.26,2.0,1010,16.0,72.0,8.15,0.57,9.4,5,0,0,1,0,1,0
1537,0.49,4.9,400,44.0,118.0,8.34,0.38,9.5,9,1,1,0,1,0,0
1538,0.37,1.5,270,37.0,93.0,8.3,0.45,10.8,8,1,1,0,1,0,0
1539,0.27,8.6,440,45.0,104.0,8.2,0.37,9.9,8,1,1,0,1,0,0
1540,0.31,18.3,460,40.0,142.0,8.3,0.41,8.7,7,1,1,0,0,0,0
1541,0.11,1.9,900,16.0,63.0,8.19,0.82,9.6,5,0,0,0,1,1,0
1542,0.15,10.8,330,26.0,120.0,8.25,0.49,10.0,8,1,0,1,0,0,0
1543,0.23,4.6,610,50.5,238.5,8.32,0.6,9.5,7,1,0,1,0,0,0
1544,0.36,2.0,450,24.0,131.0,8.3,0.59,10.5,8,1,1,0,1,0,0
1545,0.38,3.4,400,41.0,143.0,7.95,0.39,10.2,8,1,1,0,1,0,0
1546,0.36,2.0,520,18.0,141.0,8.38,0.53,10.5,8,1,0,1,0,0,0
1547,0.31,2.3,1120,11.0,38.0,8.24,0.56,10.9,5,0,0,1,0,1,0
1548,0.35,1.5,470,40.0,117.0,8.07,0.72,11.1,8,1,1,0,1,0,0
1549,0.27,18.15,420,41.0,146.0,8.3,0.36,8.7,7,1,1,0,0,0,0
1550,0.29,5.8,250,26.0,74.0,8.28,0.53,11.0,8,1,1,0,0,0,0
1551,0.18,11.8,510,26.0,126.0,8.23,0.48,9.1,7,1,1,0,0,1,0
1552,0.05,1.9,740,8.0,19.0,8.34,0.95,10.5,6,0,0,0,1,1,0
1553,0.26,8.6,480,47.0,206.0,8.26,0.36,9.1,7,1,0,1,0,0,0
1554,0.65,10.4,500,76.0,192.0,8.16,0.42,8.7,7,1,1,0,0,1,0
1555,0.32,4.2,400,37.0,117.0,8.24,0.43,11.3,8,1,1,0,1,0,0
1556,0.15,1.8,890,10.0,52.0,8.23,0.77,9.5,5,0,0,0,1,1,0
1557,0.57,10.7,560,66.0,171.0,8.25,0.61,10.4,9,1,1,0,0,0,0
1558,0.36,16.3,380,43.0,133.0,8.26,0.41,8.8,7,1,1,0,0,0,0
1559,0.3,1.2,290,25.0,93.0,8.31,0.4,13.6,9,1,0,1,0,0,0
1560,0.21,2.7,970,29.0,65.0,8.28,0.58,9.6,5,0,1,0,1,1,0
1561,0.0,1.4,630,11.0,18.0,8.45,0.56,12.2,6,0,1,0,1,1,0
1563,0.38,2.3,330,28.0,111.0,8.16,0.49,12.4,8,1,1,0,1,0,0
1564,0.28,1.9,240,64.0,106.0,8.45,0.6,12.6,10,1,0,1,0,0,0
1565,0.24,2.8,920,14.0,45.0,8.19,0.73,10.0,6,0,1,0,0,1,0
1566,0.44,9.3,310,35.0,137.0,8.16,0.36,10.4,8,1,1,0,0,0,0
1567,0.32,1.9,360,27.0,119.0,8.15,0.49,11.2,8,1,0,1,0,0,0
1568,0.22,2.8,480,53.0,173.0,8.24,0.45,9.8,7,1,0,1,0,0,0
1569,0.31,2.2,900,13.0,62.0,8.07,0.63,10.5,6,0,1,0,0,1,0
1570,0.46,13.6,520,38.0,118.0,8.15,0.5,10.0,8,1,1,0,1,0,0
1571,0.24,1.5,360,38.0,124.0,8.29,0.42,12.4,9,1,0,1,0,0,0
1572,0.37,1.4,760,8.0,23.0,8.26,0.7,9.6,6,0,1,0,0,0,0
1573,0.36,2.0,310,27.0,139.0,8.28,0.48,12.5,11,1,1,0,0,0,0
1574,0.27,1.5,290,37.0,81.0,8.2,0.46,12.2,8,1,1,0,0,0,0
1575,0.27,7.1,490,8.0,178.0,8.16,0.38,9.4,6,1,0,1,0,1,0
1576,0.24,2.85,940,35.0,106.0,8.1,0.53,9.2,5,0,1,0,0,1,0
1577,0.27,10.8,500,58.0,116.0,8.1,0.5,9.8,8,1,1,0,0,0,0
1578,0.0,2.2,650,28.0,52.0,8.49,0.52,11.6,5,0,0,0,1,1,0
1579,0.41,2.0,910,6.0,16.0,8.28,0.7,9.7,5,0,1,0,0,0,0
