,song_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
2561,Harlem Shuffle,['Bob & Earl'],spotify:track:32CMlKiHOj3BCLpxBqxkn8,0.689,0.67,5,-9.389,1,0.039,0.507,0.0041,0.121,0.75,116.579,spotify:track:32CMlKiHOj3BCLpxBqxkn8,168827,4
2562,Do You,['Spoon'],spotify:track:2xBgqHuAUiRF6VhoTK83Zp,0.671,0.934,4,-2.169,1,0.0271,0.0796,0.000333,0.211,0.932,128.12,spotify:track:2xBgqHuAUiRF6VhoTK83Zp,212653,4
2563,Human Nature,['Michael Jackson'],spotify:track:35lAjvsvS9k9HHuP1fjDT8,0.624,0.512,2,-10.041,1,0.0297,0.541,0.00478,0.26,0.685,93.059,spotify:track:35lAjvsvS9k9HHuP1fjDT8,245560,4
2564,Do They Know It's Christmas? - 1984 Version,['Band Aid'],spotify:track:1hvpDAxZPKjKztOc72sv06,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,spotify:track:1hvpDAxZPKjKztOc72sv06,222533,4
2565,"Do Right Woman, Do Right Man",['Aretha Franklin'],spotify:track:6cLEpgDcEldV1n9gusHQUX,0.668,0.284,9,-10.192,1,0.0413,0.706,0.0,0.131,0.491,134.911,spotify:track:6cLEpgDcEldV1n9gusHQUX,196640,3
2566,"Hey, Ma",['Bon Iver'],spotify:track:0d6bZwEAi1XblGRhnzPfgC,0.411,0.285,0,-10.97,1,0.0306,0.872,0.000354,0.0993,0.213,72.139,spotify:track:0d6bZwEAi1XblGRhnzPfgC,216707,4
2567,4'33'',['John Cage'],spotify:track:2bNCdW4rLnCTzgqUXTTDO1,0.173,2.03e-05,5,-60.0,1,0.409,0.0,0.971,0.102,0.975,54.211,spotify:track:2bNCdW4rLnCTzgqUXTTDO1,273067,4
2568,Black Magic Woman,['Fleetwood Mac'],spotify:track:74BCQ420fywHQbYhbrjH1T,0.549,0.389,7,-13.314,0,0.049,0.0774,0.00172,0.127,0.398,129.431,spotify:track:74BCQ420fywHQbYhbrjH1T,166373,4
2569,What Have I Done to Deserve This? (with Dusty Springfield) - 2001 Remaster,"['Pet Shop Boys', 'Dusty Springfield']",spotify:track:5Knl7BTPCME3Kh5WxctWLU,0.711,0.875,5,-5.24,1,0.0336,0.129,0.00126,0.159,0.925,118.022,spotify:track:5Knl7BTPCME3Kh5WxctWLU,260413,4
2570,Thinking of a Place,['The War On Drugs'],spotify:track:4Sd5tbNP4q8wS64abqwfkN,0.481,0.632,11,-7.117,1,0.0333,0.385,0.0817,0.116,0.156,103.323,spotify:track:4Sd5tbNP4q8wS64abqwfkN,670667,4
2571,I Am Still in Love,['Alton Ellis'],spotify:track:10yWB0Lvkl9qSO51PAqesM,0.75,0.352,7,-15.154,1,0.0408,0.127,0.000123,0.07,0.763,83.486,spotify:track:10yWB0Lvkl9qSO51PAqesM,272667,4
2572,Diana,['Paul Anka'],spotify:track:4chlGZQX5uPYpRLp3NezmX,0.57,0.408,7,-9.932,1,0.0295,0.341,0.0,0.549,0.96,143.249,spotify:track:4chlGZQX5uPYpRLp3NezmX,138360,4
2573,Drinking in L.A.,['Bran Van 3000'],spotify:track:7GpsYzkV6jvCLeRrK26YVb,0.568,0.707,3,-5.672,1,0.0582,0.0608,0.0,0.0673,0.663,171.968,spotify:track:7GpsYzkV6jvCLeRrK26YVb,236067,4
2574,Rock The Bells,['LL Cool J'],spotify:track:50WeoO0YPlzKXurQ4SBYEb,0.892,0.514,6,-12.829,0,0.12,0.00503,0.453,0.139,0.295,98.461,spotify:track:50WeoO0YPlzKXurQ4SBYEb,240933,4
2575,As time goes by - Complete vocal by Dooley Wilson,"['Max Steiner', 'Dooley Wilson']",spotify:track:5kcYD1LPNKqgwl2qPgL85i,0.361,0.223,1,-15.35,1,0.036,0.968,3.61e-06,0.146,0.338,80.224,spotify:track:5kcYD1LPNKqgwl2qPgL85i,164600,4
2576,Woodstock,['Joni Mitchell'],spotify:track:18o4mqgG9RmPAD8aItmvkO,0.334,0.0935,8,-15.242,0,0.0354,0.985,0.0215,0.0994,0.21,107.863,spotify:track:18o4mqgG9RmPAD8aItmvkO,326933,4
2577,Black Steel In The Hour Of Chaos,['Public Enemy'],spotify:track:06uaaWpCUgZHs6mxgednYw,0.805,0.799,6,-11.829,1,0.192,0.211,0.0,0.319,0.827,90.879,spotify:track:06uaaWpCUgZHs6mxgednYw,383533,4
2578,Reconsider Baby - Single Version,['Lowell Fulson'],spotify:track:4QHNn5HPFJ7pEwi8lGC9qc,0.647,0.709,0,-5.532,1,0.0564,0.737,0.000747,0.0725,0.7,95.066,spotify:track:4QHNn5HPFJ7pEwi8lGC9qc,190987,4
2579,No Particular Place To Go - Single Version,['Chuck Berry'],spotify:track:2RNzcb0r4Kd7XUM7UWDC37,0.576,0.795,7,-7.566,1,0.0456,0.331,0.000481,0.089,0.975,129.092,spotify:track:2RNzcb0r4Kd7XUM7UWDC37,162173,4
2580,The Ghost of Tom Joad,['Bruce Springsteen'],spotify:track:4RaxnzmTN4bojbbEYtvXjk,0.445,0.0975,11,-16.906,0,0.0357,0.43,0.284,0.142,0.0771,88.495,spotify:track:4RaxnzmTN4bojbbEYtvXjk,263467,4
2581,Best of You,['Foo Fighters'],spotify:track:1sn6iOK93jnp0Hn5BnNOXy,0.377,0.942,1,-4.543,0,0.07,0.00092,8.88e-05,0.126,0.348,129.955,spotify:track:1sn6iOK93jnp0Hn5BnNOXy,254973,4
2582,I Feel the Earth Move,['Carole King'],spotify:track:54ashUPqW5v7L533WeZ4cW,0.711,0.587,7,-8.832,0,0.0303,0.643,0.00737,0.0708,0.669,119.984,spotify:track:54ashUPqW5v7L533WeZ4cW,178160,4
2583,You Wear It Well,['Rod Stewart'],spotify:track:7mzvbidIxAS6aRsdSawznI,0.541,0.569,2,-10.042,1,0.0316,0.464,9.21e-06,0.285,0.886,127.311,spotify:track:7mzvbidIxAS6aRsdSawznI,262960,4
2584,Straight to Hell - Remastered,['The Clash'],spotify:track:2ax1vei61BzRGsEn6ckEdL,0.802,0.596,7,-11.663,1,0.06,0.0465,1.17e-05,0.0695,0.702,90.275,spotify:track:2ax1vei61BzRGsEn6ckEdL,330507,4
2585,"Please, Please, Please, Let Me Get What I Want - 2008 Remaster",['The Smiths'],spotify:track:42GCfFvZKOWtwHnMxCAoIs,0.417,0.442,2,-9.6,1,0.0271,0.589,0.0,0.175,0.524,62.631,spotify:track:42GCfFvZKOWtwHnMxCAoIs,112280,4
2586,Are You Gonna Be My Girl,['Jet'],spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,spotify:track:305WCRhhS10XUcH6AEwZk6,213800,4
2587,Pop Muzik,['M'],spotify:track:6kC5Ufo12MiUP3gpZsm6LW,0.941,0.789,1,-8.665,1,0.0349,0.0854,0.000123,0.196,0.97,110.806,spotify:track:6kC5Ufo12MiUP3gpZsm6LW,296267,4
2588,Good Morning Little School Girl,['Sonny Boy Williamson II'],spotify:track:0QROJwt9RFVJFsUgiUsWXU,0.627,0.358,5,-6.413,1,0.0656,0.93,0.000428,0.0568,0.788,91.931,spotify:track:0QROJwt9RFVJFsUgiUsWXU,181920,4
2589,Stinkfist,['TOOL'],spotify:track:0pwObEOHolQZSldJ2q1wpy,0.286,0.728,0,-6.608,1,0.0616,0.000174,0.836,0.133,0.467,171.441,spotify:track:0pwObEOHolQZSldJ2q1wpy,312120,4
2590,Cloud Nine,['The Temptations'],spotify:track:4DO0jwwAYlcseswjRF51VJ,0.761,0.689,2,-8.297,1,0.0568,0.321,0.0,0.119,0.803,118.689,spotify:track:4DO0jwwAYlcseswjRF51VJ,214387,4
2591,Ironic,['Alanis Morissette'],spotify:track:4oGTdOClZUxcM2H3UmXlwL,0.495,0.595,11,-7.57,1,0.0443,0.246,0.0,0.236,0.392,85.341,spotify:track:4oGTdOClZUxcM2H3UmXlwL,225933,4
2592,That's Amore - Remastered,['Dean Martin'],spotify:track:59XfrHT6N1mLaqSecAHTo2,0.423,0.193,10,-11.018,1,0.0344,0.646,0.0,0.0925,0.432,129.685,spotify:track:59XfrHT6N1mLaqSecAHTo2,188827,4
2593,Yet Again,['Grizzly Bear'],spotify:track:202QyrB6Q3Kimsr7KqJut3,0.472,0.875,4,-5.024,0,0.0446,0.00345,0.00576,0.128,0.461,136.064,spotify:track:202QyrB6Q3Kimsr7KqJut3,318423,4
2594,South Bronx,['Boogie Down Productions'],spotify:track:2FiO4PxNAYZImLfnWkBgo5,0.92,0.473,9,-8.622,0,0.401,0.279,0.0,0.129,0.595,95.878,spotify:track:2FiO4PxNAYZImLfnWkBgo5,310560,4
2595,The System Only Dreams in Total Darkness,['The National'],spotify:track:1HAzsv7VCvbgqrpenTRWj1,0.596,0.912,0,-6.74,0,0.211,0.156,0.794,0.584,0.371,110.013,spotify:track:1HAzsv7VCvbgqrpenTRWj1,236747,4
2596,Ooby Dooby,['Roy Orbison'],spotify:track:5cSuyE5Wbu9pnCMaEPSTsW,0.492,0.862,3,-4.843,1,0.127,0.82,0.138,0.0889,0.937,181.997,spotify:track:5cSuyE5Wbu9pnCMaEPSTsW,132480,4
2597,Ya Hey,['Vampire Weekend'],spotify:track:4eE6vZ2vOrceLq4xgz3VmG,0.584,0.65,11,-6.481,1,0.0427,0.179,0.000283,0.0935,0.491,92.01,spotify:track:4eE6vZ2vOrceLq4xgz3VmG,312653,4
2598,Rewind,['Craig David'],spotify:track:5hultE7GeExA3RkTvtsear,0.894,0.792,11,-8.292,0,0.149,0.119,0.00161,0.206,0.758,130.022,spotify:track:5hultE7GeExA3RkTvtsear,333000,4
2599,Jane Says,"[""Jane's Addiction""]",spotify:track:7c1Dar0pIAW7w5TzaGjt9t,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,spotify:track:7c1Dar0pIAW7w5TzaGjt9t,287000,4
2600,Peter Piper,['Run–D.M.C.'],spotify:track:4TiFdcu6NolFKFwukcbdze,0.869,0.667,7,-5.197,1,0.256,0.00761,0.000628,0.107,0.564,105.513,spotify:track:4TiFdcu6NolFKFwukcbdze,203200,4
2601,Rainy Night In Georgia,['Brook Benton'],spotify:track:1E3N0QEjPYWOxlyVScZtbW,0.512,0.253,7,-15.793,1,0.0391,0.417,0.00184,0.0762,0.326,137.082,spotify:track:1E3N0QEjPYWOxlyVScZtbW,249760,4
2602,My Man,['Fanny Brice'],spotify:track:4csDYf5M8uQH8xeh7hPoTk,0.41,0.147,0,-12.967,1,0.0643,0.987,0.0,0.388,0.369,88.728,spotify:track:4csDYf5M8uQH8xeh7hPoTk,205187,4
2603,Hot Burrito #1,['The Flying Burrito Brothers'],spotify:track:1tyxZaxa5XGokLud3n0q7E,0.479,0.371,5,-12.839,1,0.0276,0.0118,0.0543,0.101,0.363,78.192,spotify:track:1tyxZaxa5XGokLud3n0q7E,219467,4
2604,It's Gonna Work Out Fine,['Ike & Tina Turner'],spotify:track:61VRBRAVXRl3J5zRDvtJXZ,0.701,0.496,0,-12.57,1,0.128,0.857,0.00298,0.0439,0.938,108.679,spotify:track:61VRBRAVXRl3J5zRDvtJXZ,182293,4
2605,Desire,['U2'],spotify:track:5OHNmFCzM6S52aIlkhg6JP,0.49,0.827,8,-9.481,1,0.0482,0.000212,0.00406,0.112,0.626,108.577,spotify:track:5OHNmFCzM6S52aIlkhg6JP,179360,4
2606,Are You Lonesome Tonight?,['Elvis Presley'],spotify:track:3aCTRlUURXIWTeUDjuChuc,0.433,0.121,0,-16.221,1,0.0475,0.932,0.000287,0.101,0.207,74.229,spotify:track:3aCTRlUURXIWTeUDjuChuc,186360,3
2607,Flava in Ya Ear,['Craig Mack'],spotify:track:3X414ZlCf5U7pcpIaIcUkT,0.763,0.541,9,-8.843,0,0.329,0.466,0.0,0.0693,0.885,90.032,spotify:track:3X414ZlCf5U7pcpIaIcUkT,217467,4
2608,The Ship Song - 2010 Digital Remaster,['Nick Cave & The Bad Seeds'],spotify:track:69ufPR8ZCrKpYrZFFmddb1,0.318,0.412,7,-10.364,1,0.0303,0.271,0.0,0.0959,0.125,142.287,spotify:track:69ufPR8ZCrKpYrZFFmddb1,314147,4
2609,Feeling Good,['Nina Simone'],spotify:track:61S0mEfdRtJ62Fc7fPqx0U,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,174000,4
2610,Township Funk,['Dj Mujava'],spotify:track:32bk6u6Pbe2cotvyKJgrP0,0.906,0.856,1,-4.204,1,0.0673,0.0098,0.899,0.0816,0.717,121.968,spotify:track:32bk6u6Pbe2cotvyKJgrP0,349480,4
2611,Somebody Else,['The 1975'],spotify:track:5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,spotify:track:5hc71nKsUgtwQ3z52KEKQk,347520,4
2612,Nasty,['Janet Jackson'],spotify:track:0L3BTsSDXfdRlIyvKLUcST,0.843,0.873,1,-12.549,0,0.0628,0.454,0.041,0.267,0.609,103.652,spotify:track:0L3BTsSDXfdRlIyvKLUcST,243933,4
2613,Dead Man's Curve,['Jan & Dean'],spotify:track:6OPbbgvMpROmU8K0FhxrMF,0.448,0.668,6,-11.627,1,0.037,0.764,0.277,0.392,0.854,133.544,spotify:track:6OPbbgvMpROmU8K0FhxrMF,167973,4
2614,B.Y.O.B.,['System Of A Down'],spotify:track:0EYOdF5FCkgOJJla8DI2Md,0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,spotify:track:0EYOdF5FCkgOJJla8DI2Md,255467,4
2615,I Fought the Law,['The Clash'],spotify:track:19Ze27TdtFYssgeGCStFIC,0.523,0.902,2,-6.689,1,0.0531,0.019,0.000167,0.112,0.879,151.223,spotify:track:19Ze27TdtFYssgeGCStFIC,161360,4
2616,What I Got,['Sublime'],spotify:track:3xsrky7ED45oiA0rSN1RjM,0.801,0.694,7,-7.52,1,0.0863,0.0152,0.000761,0.315,0.635,95.63,spotify:track:3xsrky7ED45oiA0rSN1RjM,171080,4
2617,Magnolia,['Playboi Carti'],spotify:track:1e1JKLEDKP7hEQzJfNAgPl,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,181812,4
2618,This Is Not A Love Song,['Public Image Ltd.'],spotify:track:4UEehDT0HvWBJSMJmdpElA,0.613,0.784,9,-9.895,1,0.0499,0.179,0.12,0.22,0.625,126.955,spotify:track:4UEehDT0HvWBJSMJmdpElA,252333,4
2619,I Love Music,"[""The O'Jays""]",spotify:track:61v2IgQ5AK2o6G3DT9Tao9,0.666,0.865,0,-7.063,0,0.0597,0.323,0.00277,0.113,0.932,128.306,spotify:track:61v2IgQ5AK2o6G3DT9Tao9,412627,4
2620,"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra) - Single Version","['Doris Day', 'Frank DeVol & His Orchestra']",spotify:track:6bgqXmHsuhy0nqUcvlSKcG,0.429,0.414,9,-6.832,1,0.034,0.86,0.0,0.654,0.772,177.417,spotify:track:6bgqXmHsuhy0nqUcvlSKcG,123093,4
2621,"Irish Blood, English Heart",['Morrissey'],spotify:track:5xMmxfaKDI6v6W84IF2yuK,0.587,0.804,9,-5.287,0,0.0392,0.0044,0.000738,0.065,0.359,140.112,spotify:track:5xMmxfaKDI6v6W84IF2yuK,157467,4
2622,Disorder - 2007 Remaster,['Joy Division'],spotify:track:38wCbVfMreML5ZhF5iQuKA,0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,spotify:track:38wCbVfMreML5ZhF5iQuKA,209040,4
2623,Dirty Deeds Done Dirt Cheap,['AC/DC'],spotify:track:1Lqjafoc2JcVpav2voIPaA,0.666,0.905,11,-4.923,0,0.168,0.214,0.00199,0.125,0.502,135.633,spotify:track:1Lqjafoc2JcVpav2voIPaA,231933,4
2624,King of Rock,['Run–D.M.C.'],spotify:track:7112WRQXlBGe4Os43yw8gV,0.825,0.857,2,-3.389,0,0.0448,0.00907,0.0,0.0461,0.791,98.204,spotify:track:7112WRQXlBGe4Os43yw8gV,314147,4
2625,Walk Like an Egyptian,['The Bangles'],spotify:track:4WoM3V2Vje4Qa2MNwkr7gK,0.711,0.788,11,-14.705,1,0.0825,0.0117,2.05e-06,0.311,0.757,103.172,spotify:track:4WoM3V2Vje4Qa2MNwkr7gK,204560,4
2626,Lucky Star,['Madonna'],spotify:track:2hWI9GNr3kBrxZ7Mphho4Q,0.793,0.627,4,-10.599,0,0.0431,0.266,7.1e-05,0.145,0.963,117.203,spotify:track:2hWI9GNr3kBrxZ7Mphho4Q,333773,4
2627,Making Time,['The Creation'],spotify:track:5TysIim10uxdcYtUqftQlZ,0.432,0.917,2,-7.067,1,0.12,0.111,3.48e-06,0.112,0.45,70.947,spotify:track:5TysIim10uxdcYtUqftQlZ,178067,4
2628,Top Billin',"['Audio Two', 'Old School']",spotify:track:3fgPDZd3XEOJPtY3YV5rgL,0.91,0.341,10,-14.2,0,0.388,0.00931,0.0,0.27,0.744,91.494,spotify:track:3fgPDZd3XEOJPtY3YV5rgL,176321,4
2629,Orange Crush,['R.E.M.'],spotify:track:6YcARW2qDq2vb52B5xUJer,0.519,0.83,6,-5.623,0,0.0535,0.000633,0.00189,0.233,0.542,120.695,spotify:track:6YcARW2qDq2vb52B5xUJer,231467,4
2630,County Line,['Cass McCombs'],spotify:track:1aVPslC1gwIhYacWIhMcnP,0.58,0.152,2,-13.395,1,0.0382,0.705,0.0212,0.111,0.323,124.76,spotify:track:1aVPslC1gwIhYacWIhMcnP,337227,4
2631,Country Feedback,['R.E.M.'],spotify:track:3fv6SXTlzlbiHgQeWVOyp8,0.267,0.436,7,-10.906,1,0.0303,0.105,0.0146,0.401,0.208,144.474,spotify:track:3fv6SXTlzlbiHgQeWVOyp8,249693,4
2632,Keep On Movin',"['Soul II Soul', 'Caron Wheeler']",spotify:track:4NMtuxWfOPR6yNjAX0AWrR,0.678,0.47,6,-13.017,0,0.0594,0.0305,0.000283,0.0635,0.686,93.144,spotify:track:4NMtuxWfOPR6yNjAX0AWrR,362600,4
2633,Angels,['The xx'],spotify:track:1zuKjpp4t7BS8JPKi6mkQr,0.424,0.157,9,-18.141,1,0.0428,0.95,0.0593,0.101,0.342,91.537,spotify:track:1zuKjpp4t7BS8JPKi6mkQr,171653,4
2634,Still Not a Player (feat. Joe) - Radio Version,"['Big Pun', 'Joe']",spotify:track:3GKL13lkM5nRc4zC1lIOrR,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,spotify:track:3GKL13lkM5nRc4zC1lIOrR,236800,4
2635,The Man with the Child in His Eyes,['Kate Bush'],spotify:track:4xjVfArXNQRxAvsUpjmfMt,0.249,0.261,0,-10.592,1,0.0334,0.962,0.00154,0.136,0.195,90.007,spotify:track:4xjVfArXNQRxAvsUpjmfMt,158693,4
2636,Middle of the Road - 2007 Remaster,['Pretenders'],spotify:track:1YhyOTcVjHe73cm6tYrHkA,0.488,0.959,9,-5.575,1,0.0758,0.00333,0.0767,0.025,0.67,166.799,spotify:track:1YhyOTcVjHe73cm6tYrHkA,254293,4
2637,Continental Shelf,['Preoccupations'],spotify:track:3d5lGpqxg1cMEYrgTaGxZy,0.414,0.912,0,-6.142,1,0.0509,0.000533,0.943,0.159,0.603,114.421,spotify:track:3d5lGpqxg1cMEYrgTaGxZy,198514,4
2638,Le Déserteur,['Boris Vian'],spotify:track:6LxSVmGbGcuJjtXgUiuihl,0.49,0.0584,0,-15.519,1,0.0375,0.839,0.0,0.152,0.368,69.554,spotify:track:6LxSVmGbGcuJjtXgUiuihl,211960,4
2639,"Oh, Lady, Be Good! (feat. Jones-Smith, Incorporated)","['Count Basie', 'Jones-Smith, Incorporated']",spotify:track:1Rdh9EhXI9qMnviCCW1xz7,0.598,0.137,7,-19.099,1,0.0791,0.97,0.626,0.128,0.803,185.542,spotify:track:1Rdh9EhXI9qMnviCCW1xz7,185360,4
2640,Life in the Fast Lane - 2013 Remaster,['Eagles'],spotify:track:6gXrEUzibufX9xYPk3HD5p,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,spotify:track:6gXrEUzibufX9xYPk3HD5p,286220,4
2641,Not Ready To Make Nice,['The Chicks'],spotify:track:4inqRcEzSuibG9KJR50wBh,0.452,0.531,6,-5.072,1,0.0278,0.13,9.33e-05,0.105,0.241,82.955,spotify:track:4inqRcEzSuibG9KJR50wBh,238093,4
2642,Fables Of Faubus,['Charles Mingus'],spotify:track:7DoBL69h4MBOiq5bRvMBzp,0.518,0.344,5,-14.201,0,0.0409,0.562,0.00245,0.174,0.312,123.456,spotify:track:7DoBL69h4MBOiq5bRvMBzp,495800,4
2643,Bongo Bong,['Manu Chao'],spotify:track:1OkqhhiH4TEYtqxiSISYen,0.754,0.546,9,-10.031,0,0.063,0.945,0.000277,0.129,0.966,149.874,spotify:track:1OkqhhiH4TEYtqxiSISYen,158427,4
2644,Sally Gooden,['Eck Robertson'],spotify:track:7rlfOiuLEku432WtlH0FlI,0.324,0.218,11,-17.917,0,0.0491,0.995,0.934,0.0613,0.387,133.683,spotify:track:7rlfOiuLEku432WtlH0FlI,192093,4
2645,Get Free,['The Vines'],spotify:track:1JcGNoiwifg0MdJMVgJQYx,0.502,0.978,7,-3.278,1,0.0649,0.000163,1.27e-06,0.287,0.603,138.811,spotify:track:1JcGNoiwifg0MdJMVgJQYx,126573,4
2646,Cruisin',['Smokey Robinson'],spotify:track:1MIFcN0HIwfK4tNcwjte9v,0.502,0.625,6,-5.788,0,0.028,0.418,0.0,0.529,0.849,169.181,spotify:track:1MIFcN0HIwfK4tNcwjte9v,352920,4
2647,Mama Weer All Crazee Now,['Slade'],spotify:track:6J4uh8qmPwinEYs4xDPN5q,0.397,0.974,5,-3.549,1,0.0816,0.0211,0.355,0.204,0.356,137.734,spotify:track:6J4uh8qmPwinEYs4xDPN5q,223947,4
2648,Fisherman,['The Congos'],spotify:track:1WD9sAjuYpeGjdFqq6LnPL,0.597,0.451,4,-15.05,0,0.188,0.465,0.00394,0.0771,0.65,174.205,spotify:track:1WD9sAjuYpeGjdFqq6LnPL,328230,4
2649,Jessica - Unedited Version,['Allman Brothers Band'],spotify:track:6RVhP2FB2UNWZzs9aOOCB2,0.321,0.857,2,-7.89,1,0.0335,0.456,0.868,0.173,0.845,106.113,spotify:track:6RVhP2FB2UNWZzs9aOOCB2,451160,4
2650,Lake of Fire,['Meat Puppets'],spotify:track:4UOq3yRhkyD2dKrDG4jV9K,0.491,0.643,6,-8.642,1,0.0415,0.298,0.505,0.301,0.658,127.955,spotify:track:4UOq3yRhkyD2dKrDG4jV9K,116973,4
2651,Bohemian Like You,['The Dandy Warhols'],spotify:track:0yEhNqCwEfy8LHUmnZoHpP,0.584,0.931,9,-6.158,1,0.0344,0.00315,0.772,0.133,0.694,131.275,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,211707,4
2652,Queer - Re-mastered 2007,['Garbage'],spotify:track:5FvrsJiU72teSMzcA2ywLe,0.534,0.673,5,-6.989,0,0.0314,0.0129,0.000153,0.206,0.386,95.064,spotify:track:5FvrsJiU72teSMzcA2ywLe,277800,4
2653,Don't You Worry 'Bout A Thing,['Stevie Wonder'],spotify:track:37eC6DX0aYrFGw8cMQaBG5,0.714,0.726,11,-9.218,1,0.0408,0.0316,0.0,0.0666,0.92,124.715,spotify:track:37eC6DX0aYrFGw8cMQaBG5,284630,4
2654,I Can Never Go Home Anymore,['The Shangri-Las'],spotify:track:6Dmrx1BOxZXTc2p3W8ezTh,0.527,0.354,11,-12.386,0,0.0397,0.627,0.0,0.283,0.164,96.022,spotify:track:6Dmrx1BOxZXTc2p3W8ezTh,192907,4
2655,Fix You,['Coldplay'],spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,295533,4
2656,(This Is) The Dream Of Evan And Chan - Remastered,['Dntel'],spotify:track:3fhxjSp2AHFPnTvr1rase2,0.497,0.795,1,-9.114,1,0.0427,0.0804,0.409,0.162,0.0829,138.076,spotify:track:3fhxjSp2AHFPnTvr1rase2,344973,4
2657,Double Barrel,"['Dave Collins', 'Ansel Collins']",spotify:track:4bB53I14iWu3DsamRxlsNQ,0.791,0.619,5,-8.049,1,0.0776,0.195,0.000812,0.137,0.828,80.753,spotify:track:4bB53I14iWu3DsamRxlsNQ,165093,4
2658,My Best Friend's Girl,['The Cars'],spotify:track:1SRkKyJ2JjMZgyDWC30zKv,0.799,0.608,5,-8.193,1,0.0411,0.0811,0.0137,0.102,0.963,121.915,spotify:track:1SRkKyJ2JjMZgyDWC30zKv,223253,4
2659,Sign of the Times,['Harry Styles'],spotify:track:5Ohxk2dO5COHF1krpoPigN,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,spotify:track:5Ohxk2dO5COHF1krpoPigN,340707,4
2660,Love's Theme,['The Love Unlimited Orchestra'],spotify:track:5uvAIUrJq6V5T8zWVILoyb,0.57,0.551,2,-12.715,1,0.0341,0.00195,0.846,0.202,0.656,96.993,spotify:track:5uvAIUrJq6V5T8zWVILoyb,247373,4
2661,Falling,['HAIM'],spotify:track:5wL742yBgvtbw1IibA3FMJ,0.741,0.894,2,-5.648,1,0.069,0.076,4.89e-05,0.0835,0.297,111.969,spotify:track:5wL742yBgvtbw1IibA3FMJ,257733,4
2662,This Is a Call,['Foo Fighters'],spotify:track:2wO8aOvN1ogLy1N8XT1WJE,0.261,0.964,9,-6.654,1,0.0638,0.00141,2.87e-05,0.183,0.326,162.902,spotify:track:2wO8aOvN1ogLy1N8XT1WJE,233360,3
2663,Start! - Remastered,['The Jam'],spotify:track:1HnhVIHwCitqYeZjqt9GTY,0.653,0.32,0,-10.259,1,0.0513,0.0028,5.4e-05,0.0771,0.959,139.064,spotify:track:1HnhVIHwCitqYeZjqt9GTY,150453,4
2664,All My Life,['Foo Fighters'],spotify:track:2HbVINmehEbPmjlcueXEJJ,0.585,0.599,5,-5.704,1,0.0508,0.000214,0.000871,0.492,0.667,167.778,spotify:track:2HbVINmehEbPmjlcueXEJJ,263560,4
2665,After Midnight,['Eric Clapton'],spotify:track:4SUwsBNNbSFV97cyLP90nC,0.625,0.615,0,-13.2,1,0.0356,0.214,0.0,0.0899,0.941,126.978,spotify:track:4SUwsBNNbSFV97cyLP90nC,172431,4
2666,The Glamorous Life,['Sheila E.'],spotify:track:179SfVFJ0ZN41toTxnpgRD,0.759,0.675,3,-14.366,0,0.0422,0.0261,0.0341,0.431,0.866,127.522,spotify:track:179SfVFJ0ZN41toTxnpgRD,543560,4
2667,Drive,['The Cars'],spotify:track:3wfujdbamR3Z46F4xav7LM,0.582,0.606,6,-9.961,1,0.0289,0.124,0.00139,0.151,0.504,111.441,spotify:track:3wfujdbamR3Z46F4xav7LM,234493,5
2668,Louie Louie,['Richard Berry'],spotify:track:5TCtdkynqMVf3w7pYTjfph,0.873,0.599,0,-6.553,1,0.0558,0.234,3.13e-06,0.0937,0.988,121.384,spotify:track:5TCtdkynqMVf3w7pYTjfph,131640,4
2669,When A Fire Starts To Burn,['Disclosure'],spotify:track:7cyUppcNj7ojpzPlB0CPW9,0.86,0.732,7,-6.956,1,0.207,0.00963,0.00115,0.243,0.672,123.963,spotify:track:7cyUppcNj7ojpzPlB0CPW9,283706,4
